Code,Drug Name,Pack Size,Strength Measure,Name,Reimbursement Price,Non Proprietary Name,Ref Price,Dental,Reference Priced,INN
93542,Laker Dansac Novalife 1 Open Soft Convex Easiview 40 mm 981-40 10 (A),10,,LAKER 981-40 DANSAC NOVALIFE 1 OPEN SOFT CONVEX EASIVIEW 40MM,52.37,,0.0,N,N,
93544,Laker Dansac Novalife 1 Open Soft Convex Easiview 45 mm 981-45 10 (A),10,,LAKER 981-45 DANSAC NOVALIFE 1 OPEN SOFT CONVEX EASIVIEW 45MM,52.37,,0.0,N,N,
93545,Laker Dansac Novalife 1 Open Soft Convex Easiview 15-55 mm 981-54 10 (A),10,,LAKER 981-54 DANSAC NOVALIFE 1 OPEN SOFT CONVEX EASIVIEW 15-55MM,52.37,,0.0,N,N,
93546,Linc Medical Supra-Flo All Silicone Two Way Open Tip Foley Catheter with Unibal Integral Balloon 08471205G 1 (A),1,,LINC MEDICAL 08471205G SUPRA-FLO ALL SILICONE TWO WAY OPEN TIP FOLEY CATH C UNIBAL INTEGRAL BALLOON,11.68,,0.0,N,N,
93547,Linc Medical Supra-Flo All Silicone Two Way Open Tip Foley Catheter with Unibal Integral Balloon 08471003G 1 (A),1,,LINC MEDICAL 08471003G SUPRA-FLO ALL SILICONE TWO WAY FOLEY CATH C UNIBAL INTEGRAL BALLOON,11.68,,0.0,N,N,
93550,Linc Medical Supra-Flo All Silicone Two Way Open Tip Foley Catheter with Unibal Integral Balloon 08451610G 1 (A),1,,LINC MEDICAL 08451610G SUPRA-FLO ALL SILICONE TWO WAY OPEN TIP FOLEY CATH C UNIBAL INTEGRAL BALLOON,11.68,,0.0,N,N,
93552,Coloplast SenSura Baseplates Convex Click 2 Piece Ostomy System 11011/12/21/22/23/24/31/32/41 5 (A),5,,COLOPLAST 11011/12/21/22/23/24/31/32/41 SENSURA BASEPLATES CONVEX CLICK 2 PIECE OSTOMY SYSTEM,23.28,,0.0,N,N,
93553,Linc Medical Supra-Flo All Silicone Two Way Open Tip Foley Catheter with Unibal Integral Balloon 08452210G 1 (A),1,,LINC MEDICAL 08452210G SUPRA-FLO ALL SILICONE TWO WAY OPEN TIP FOLEY CATH C UNIBAL INTEGRAL BALLOON,11.68,,0.0,N,N,
93555,Linc Medical Supra-Flo All Silicone Two Way Open Tip Foley Catheter with Unibal Integral Balloon 08452010G 1 (A),1,,LINC MEDICAL 08452010G SUPRA-FLO ALL SILICONE TWO WAY OPEN TIP FOLEY CATH C UNIBAL INTEGRAL BALLOON,11.68,,0.0,N,N,
93557,Linc Medical Supra-Flo All Silicone Two Way Open Tip Foley Catheter with Unibal Integral Balloon 08451205G 1 (A),1,,LINC MEDICAL 08451205G SUPRA-FLO ALL SILICONE TWO WAY OPEN TIP FOLEY CATH C UNIBAL INTEGRAL BALLOON,11.68,,0.0,N,N,
93558,Linc Medical Supra-Flo All Silicone Two Way Open Tip Foley Catheter with Unibal Integral Balloon 08451810G 1 (A),1,,LINC MEDICAL 08451810G SUPRA-FLO ALL SILICONE TWO WAY OPEN TIP FOLEY CATH C UNIBAL INTEGRAL BALLOON,11.68,,0.0,N,N,
93560,Linc Medical Supra-Flo All Silicone Two Way Open Tip Foley Catheter with Unibal Integral Balloon 08471810G 1 (A),1,,LINC MEDICAL 08471810G SUPRA-FLO ALL SILICONE TWO WAY OPEN TIP FOLEY CATH C UNIBAL INTEGRAL BALLOON,11.68,,0.0,N,N,
93881,HOLLISTER MODERMA FLEX MAXI CLOSED POUCH WITH OVAL SOFTFLEX BARRIER (TRANSPARENT) CUT TO FIT 15-65MM 22401 30 (A),30,,HOLLISTER MODERMA 22401 FLEX MAXI CLOSED POUCH WITH OVAL SOFTFLEX BARRIER (TRANS) CUT TO FIT 15-65MM,91.25,,0.0,N,N,
93883,HOLLISTER MODERMA FLEX MAXI DRAINABLE POUCH WITH OVAL SOFTFLEX BARRIER (TRANSPARENT) CUT TO FIT 15-65MM 28401 30 (A),30,,HOLLISTER MODERMA 28401 FLEX MAXI DRAINABLE POUCH WITH OVAL SOFTFLEX BARRIER CUT TO FIT 15-65MM,94.54,,0.0,N,N,
17925,Co-Amoxiclav (Brown & Burk) Film Coated Tabs. 875 mg./125 mg. 14 (A),14,875/125MG,CO-AMOXICLAV (BROWN & BURK),8.35,,8.3496,Y,Y,AMOXICILLIN AND ENZYME INHIBITOR
31606,"Laxido Paediatric Plain Sachets, Powder for Oral Soln. 6.9 G. 30 (A)",30,6.9G,LAXIDO PAED PLAIN S PDR FOR ORAL SOLN,6.17,,0.0,N,N,"MACROGOL, COMBINATIONS"
93906,Coloplast SenSura Flex Open Ostomy System 14914 30 (A),30,,C/PLAST SENSURA 14914 FLEX OPEN,59.88,,0.0,N,N,
27335,Levofloxacin (KRKA Pharma) Film Coated Tabs. 500 mg. 10 (A),10,500MG,LEVOFLOXACIN (KRKA PHARMA),13.69,,0.0,N,N,LEVOFLOXACIN
46095,Seropia XR Prolonged Release Tabs. 50 mg. 60 (A),60,50MG,SEROPIA XR PROLONGED RELEASE,10.37,,10.368,N,Y,QUETIAPINE
72825,Teicoplanin (Rowex) Powder & Solv. For Soln. for Inj./Inf. or Oral Soln. 400 mg. 1 (A),1,400MG,TEICOPLANIN (ROWEX) POWDER & SOLN. FOR SOLN. FOR INJ/INF OR,26.76,,0.0,N,N,TEICOPLANIN
