value,code,label
REF_CLASS_ATC:A11HA01,A11HA01,A11HA01 - nicotinamide
REF_CLASS_ATC:A11HA02,A11HA02,A11HA02 - pyridoxine (vit B6)
REF_CLASS_ATC:A11HA03,A11HA03,A11HA03 - tocopherol (vit E)
REF_CLASS_ATC:A11HA08,A11HA08,A11HA08 - tocofersolan
REF_CLASS_ATC:A11HA30,A11HA30,A11HA30 - dexpanthenol
REF_CLASS_ATC:A11HA31,A11HA31,A11HA31 - calcium pantothenate
REF_CLASS_ATC:A12AA01,A12AA01,A12AA01 - calcium phosphate
REF_CLASS_ATC:A12AA03,A12AA03,A12AA03 - calcium gluconate
REF_CLASS_ATC:A12AA04,A12AA04,A12AA04 - calcium carbonate
REF_CLASS_ATC:A12AA05,A12AA05,A12AA05 - calcium lactate
REF_CLASS_ATC:A12AA07,A12AA07,A12AA07 - calcium chloride
REF_CLASS_ATC:A12AA08,A12AA08,A12AA08 - calcium glycerylphosphate
REF_CLASS_ATC:A12AA11,A12AA11,A12AA11 - calcium pangamate
REF_CLASS_ATC:A12AA20,A12AA20,A12AA20 - calcium (different salts in combination)
REF_CLASS_ATC:A12BA01,A12BA01,A12BA01 - potassium chloride
REF_CLASS_ATC:A12BA30,A12BA30,A12BA30 - potassium (different salts in combination)
REF_CLASS_ATC:A12BA51,A12BA51,"A12BA51 - potassium, combinations"
REF_CLASS_ATC:A12CA01,A12CA01,A12CA01 - sodium chloride
REF_CLASS_ATC:A12CC01,A12CC01,A12CC01 - magnesium chloride
REF_CLASS_ATC:A12CC02,A12CC02,A12CC02 - magnesium sulfate
REF_CLASS_ATC:A12CC03,A12CC03,A12CC03 - magnesium gluconate
REF_CLASS_ATC:A12CC04,A12CC04,A12CC04 - magnesium citrate
REF_CLASS_ATC:A12CC05,A12CC05,A12CC05 - magnesium aspartate
REF_CLASS_ATC:A12CC06,A12CC06,A12CC06 - magnesium lactate
REF_CLASS_ATC:A12CC08,A12CC08,A12CC08 - magnesium pidolate
REF_CLASS_ATC:A12CC30,A12CC30,A12CC30 - magnesium (different salts in combination)
REF_CLASS_ATC:A12CD01,A12CD01,A12CD01 - sodium fluoride
REF_CLASS_ATC:A12CD02,A12CD02,A12CD02 - sodium monofluorophosphate
REF_CLASS_ATC:A12CE02,A12CE02,A12CE02 - sodium selenite
REF_CLASS_ATC:A14AA07,A14AA07,A14AA07 - prasterone
REF_CLASS_ATC:A14AB01,A14AB01,A14AB01 - nandrolone
REF_CLASS_ATC:A16AA01,A16AA01,A16AA01 - levocarnitine
REF_CLASS_ATC:A16AA04,A16AA04,A16AA04 - mercaptamine
REF_CLASS_ATC:A16AA05,A16AA05,A16AA05 - carglumic acid
REF_CLASS_ATC:A16AA06,A16AA06,A16AA06 - betaine
REF_CLASS_ATC:A16AA07,A16AA07,A16AA07 - metreleptin
REF_CLASS_ATC:A16AB01,A16AB01,A16AB01 - alglucerase
REF_CLASS_ATC:A16AB02,A16AB02,A16AB02 - imiglucerase
REF_CLASS_ATC:A16AB03,A16AB03,A16AB03 - agalsidase alfa
REF_CLASS_ATC:A16AB04,A16AB04,A16AB04 - agalsidase beta
REF_CLASS_ATC:A16AB05,A16AB05,A16AB05 - laronidase
REF_CLASS_ATC:A16AB07,A16AB07,A16AB07 - alglucosidase alfa
REF_CLASS_ATC:A16AB08,A16AB08,A16AB08 - galsulfase
REF_CLASS_ATC:A16AB09,A16AB09,A16AB09 - idursulfase
REF_CLASS_ATC:A16AB10,A16AB10,A16AB10 - velaglucerase alfa
REF_CLASS_ATC:A16AB12,A16AB12,A16AB12 - elosulfase alfa
REF_CLASS_ATC:A16AB13,A16AB13,A16AB13 - asfotase alfa
REF_CLASS_ATC:A16AB14,A16AB14,A16AB14 - sebelipase alfa
REF_CLASS_ATC:A16AB20,A16AB20,A16AB20 - pegunigalsidase alfa
REF_CLASS_ATC:A16AB21,A16AB21,A16AB21 - atidarsagene autotemcel
REF_CLASS_ATC:A16AB23,A16AB23,A16AB23 - cipaglucosidase alfa
REF_CLASS_ATC:A16AB24,A16AB24,A16AB24 - pegzilarginase
REF_CLASS_ATC:A16AB25,A16AB25,A16AB25 - olipudase alfa
REF_CLASS_ATC:A16AX01,A16AX01,A16AX01 - thioctic acid
REF_CLASS_ATC:A16AX02,A16AX02,A16AX02 - anethole trithione
REF_CLASS_ATC:A16AX03,A16AX03,A16AX03 - sodium phenylbutyrate
REF_CLASS_ATC:A16AX04,A16AX04,A16AX04 - nitisinone
REF_CLASS_ATC:A16AX05,A16AX05,A16AX05 - zinc acetate
REF_CLASS_ATC:A16AX06,A16AX06,A16AX06 - miglustat
REF_CLASS_ATC:A16AX07,A16AX07,A16AX07 - sapropterin
REF_CLASS_ATC:A16AX08,A16AX08,A16AX08 - teduglutide
REF_CLASS_ATC:A16AX09,A16AX09,A16AX09 - glycerol phenylbutyrate
REF_CLASS_ATC:A16AX10,A16AX10,A16AX10 - eliglustat
REF_CLASS_ATC:A16AX12,A16AX12,A16AX12 - trientine
REF_CLASS_ATC:A16AX14,A16AX14,A16AX14 - migalastat
REF_CLASS_ATC:A16AX15,A16AX15,A16AX15 - telotristat
REF_CLASS_ATC:A16AX16,A16AX16,A16AX16 - givosiran
REF_CLASS_ATC:A16AX18,A16AX18,A16AX18 - lumasiran
REF_CLASS_ATC:A16AX19,A16AX19,A16AX19 - fosdenopterin
REF_CLASS_ATC:A16AX20,A16AX20,A16AX20 - lonafarnib
REF_CLASS_ATC:B01AA03,B01AA03,B01AA03 - warfarin
REF_CLASS_ATC:B01AA07,B01AA07,B01AA07 - acenocoumarol
REF_CLASS_ATC:B01AB01,B01AB01,B01AB01 - heparin
REF_CLASS_ATC:B01AB02,B01AB02,B01AB02 - antithrombin III
REF_CLASS_ATC:B01AB04,B01AB04,B01AB04 - dalteparin
REF_CLASS_ATC:B01AB05,B01AB05,B01AB05 - enoxaparin
REF_CLASS_ATC:B01AB06,B01AB06,B01AB06 - nadroparin
REF_CLASS_ATC:B01AB07,B01AB07,B01AB07 - parnaparin
REF_CLASS_ATC:B01AB08,B01AB08,B01AB08 - reviparin
REF_CLASS_ATC:B01AB09,B01AB09,B01AB09 - danaparoid
REF_CLASS_ATC:B01AB10,B01AB10,B01AB10 - tinzaparin
REF_CLASS_ATC:B01AB11,B01AB11,B01AB11 - sulodexide
REF_CLASS_ATC:B01AB12,B01AB12,B01AB12 - bemiparin
REF_CLASS_ATC:B01AB51,B01AB51,"B01AB51 - heparin, combinations"
REF_CLASS_ATC:B01AC01,B01AC01,B01AC01 - ditazole
REF_CLASS_ATC:B01AC04,B01AC04,B01AC04 - clopidogrel
REF_CLASS_ATC:B01AC05,B01AC05,B01AC05 - ticlopidine
REF_CLASS_ATC:B01AC06,B01AC06,B01AC06 - acetylsalicylic acid
REF_CLASS_ATC:B01AC07,B01AC07,B01AC07 - dipyridamole
REF_CLASS_ATC:B01AC08,B01AC08,B01AC08 - carbasalate calcium
REF_CLASS_ATC:B01AC09,B01AC09,B01AC09 - epoprostenol
REF_CLASS_ATC:B01AC10,B01AC10,B01AC10 - indobufen
REF_CLASS_ATC:B01AC11,B01AC11,B01AC11 - iloprost
REF_CLASS_ATC:B01AC13,B01AC13,B01AC13 - abciximab
REF_CLASS_ATC:B01AC16,B01AC16,B01AC16 - eptifibatide
REF_CLASS_ATC:B01AC17,B01AC17,B01AC17 - tirofiban
REF_CLASS_ATC:B01AC18,B01AC18,B01AC18 - triflusal
REF_CLASS_ATC:B01AC21,B01AC21,B01AC21 - treprostinil
REF_CLASS_ATC:B01AC22,B01AC22,B01AC22 - prasugrel
REF_CLASS_ATC:B01AC23,B01AC23,B01AC23 - cilostazol
REF_CLASS_ATC:B01AC24,B01AC24,B01AC24 - ticagrelor
REF_CLASS_ATC:B01AC25,B01AC25,B01AC25 - cangrelor
REF_CLASS_ATC:B01AC26,B01AC26,B01AC26 - vorapaxar
REF_CLASS_ATC:B01AC27,B01AC27,B01AC27 - selexipag
REF_CLASS_ATC:B01AC30,B01AC30,B01AC30 - combinations
REF_CLASS_ATC:B01AC56,B01AC56,"B01AC56 - acetylsalicylic acid, combinations with proton pump inhibitors"
REF_CLASS_ATC:B01AD01,B01AD01,B01AD01 - streptokinase
REF_CLASS_ATC:B01AD02,B01AD02,B01AD02 - alteplase
REF_CLASS_ATC:B01AD03,B01AD03,B01AD03 - anistreplase
