Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Titolare AIC;AIC;Codice Gruppo Equivalenza;X=in lista di trasparenza Aifa 15/10/2025 ;Solo in lista di Regione:;Metri cubi ossigeno 
Diltiazem;DILTIAZEM 60MG 50 UNITA' USO ORALE;DILTIAZEM*50 cpr 60 mg rilascio modificato;4,67;DOC GENERICI Srl;033581012;14B;X;;
Diltiazem;DILTIAZEM 60MG 50 UNITA' USO ORALE;DILZENE*50 cpr 60 mg rilascio modificato;5,87;ALFASIGMA SpA;025277017;14B;X;;
Diltiazem;DILTIAZEM 60MG 50 UNITA' USO ORALE;TILDIEM*50 cpr 60 mg rilascio modificato;5,87;SANOFI Srl;025278019;14B;X;;
Diltiazem;DILTIAZEM 120MG 24 UNITA' USO ORALE;DILADEL*24 cpr 120 mg rilascio prolungato;5,21;ZENTIVA ITALIA Srl;025275025;14C;X;;
Diltiazem;DILTIAZEM 120MG 24 UNITA' USO ORALE;DILTIAZEM*24 cpr 120 mg rilascio prolungato;5,21;MYLAN SpA;026675025;14C;X;;
Diltiazem;DILTIAZEM 120MG 24 UNITA' USO ORALE;DILTIAZEM*24 cpr 120 mg rilascio prolungato;5,21;DOC GENERICI Srl;033581024;14C;X;;
Diltiazem;DILTIAZEM 120MG 24 UNITA' USO ORALE;DILTIAZEM*24 cps 120 mg rilascio modificato;5,21;EG SpA;032808091;14C;X;;
Diltiazem;DILTIAZEM 120MG 24 UNITA' USO ORALE;DILTIAZEM*24 cps 120 mg rilascio prolungato;5,21;SANDOZ SpA;033682028;14C;X;;
Diltiazem;DILTIAZEM 120MG 24 UNITA' USO ORALE;DILZENE*24 cpr 120 mg rilascio prolungato;6,55;ALFASIGMA SpA;025277068;14C;X;;
Diltiazem;DILTIAZEM 120MG 24 UNITA' USO ORALE;TILDIEM*24 cpr 120 mg rilascio prolungato;6,55;SANOFI Srl;025278058;14C;X;;
Diltiazem;DILTIAZEM 180MG 28 UNITA' USO ORALE;DILTIAZEM*28 cps 180 mg rilascio modificato;12,52;EG SpA;032808026;14E;;;
Diltiazem;DILTIAZEM 300MG 14 UNITA' USO ORALE;ALTIAZEM*14 cps 300 mg rilascio prolungato;8,35;IST.LUSOFARMACO D'ITALIA SpA;025271040;14G;X;;
Diltiazem;DILTIAZEM 300MG 14 UNITA' USO ORALE;DILADEL*14 cps 300 mg rilascio prolungato;6,64;ZENTIVA ITALIA Srl;025275037;14G;X;;
Diltiazem;DILTIAZEM 300MG 14 UNITA' USO ORALE;DILTIAZEM*14 cpr 300 mg rilascio prolungato;6,64;MYLAN SpA;026675049;14G;X;;
